district,crop,season,temperature,humidity,rainfall,demand,supply,price_per_kg
Namakkal,Drumstick,Normal,30.0,60,32.5,431,401,46.2
Erode,Tomato,Normal,30.4,61,18.6,862,779,24.22
Villupuram,Tomato,Normal,29.6,62,29.4,781,745,26.01
Chennai,Okra,Normal,29.8,61,18.8,525,403,30.1
Madurai,Bitter Gourd,Normal,34.3,59,33.7,399,356,31.17
Chennai,Brinjal,Light Rain,27.6,76,64.7,612,637,21.63
Namakkal,Corn,Light Rain,28.2,76,62.9,743,730,24.03
Virudhunagar,Rice,Rainy,30.1,91,181.9,883,1127,34.44
Nagapattinam,Beans,Summer,36.2,57,0.4,630,489,52.75
Thanjavur,Tomato,Rainy,25.9,88,195.4,723,833,17.97
Coimbatore,Okra,Summer,37.2,53,7.5,481,345,41.84
Krishnagiri,Cauliflower,Light Rain,27.9,73,66.6,483,575,26.05
Thanjavur,Groundnut,Rainy,28.0,86,199.2,708,877,60.01
Virudhunagar,Beans,Normal,31.8,67,28.8,569,589,34.08
Tiruvannamalai,Mango,Light Rain,29.0,80,62.5,894,961,52.9
Cuddalore,Drumstick,Normal,29.1,64,29.2,508,345,50.71
Tiruvannamalai,Okra,Light Rain,26.7,71,71.0,505,471,27.36
Pudukottai,Tapioca,Summer,38.2,61,2.7,610,435,20.2
Dindigul,Onion,Summer,37.2,62,0.9,889,661,47.15
Tiruchirappalli,Rice,Summer,35.9,58,11.5,1153,866,68.71
Sivaganga,Bitter Gourd,Normal,31.9,69,29.6,378,319,35.94
Vellore,Cauliflower,Rainy,26.8,93,191.5,516,612,21.19
Krishnagiri,Mango,Normal,32.4,61,30.9,896,872,54.65
Madurai,Bitter Gourd,Rainy,28.4,90,182.0,319,354,22.52
Villupuram,Rice,Summer,36.6,59,0.0,1036,850,67.21
Coimbatore,Cabbage,Normal,30.8,64,24.7,595,600,19.28
Cuddalore,Beans,Rainy,26.6,92,180.7,473,627,25.67
Vellore,Onion,Normal,29.7,66,19.2,751,734,34.21
Cuddalore,Tapioca,Normal,28.3,65,34.8,623,537,15.08
Namakkal,Coconut,Light Rain,26.5,77,65.3,742,865,15.51
Thoothukudi,Chilli,Normal,31.7,59,28.1,483,381,121.06
Sivaganga,Rice,Light Rain,25.4,74,69.5,987,1099,44.25
Vellore,Mango,Rainy,28.3,84,183.7,812,1037,39.05
Cuddalore,Banana,Rainy,24.8,91,183.5,722,963,19.41
Tiruchirappalli,Drumstick,Summer,36.5,60,0.0,406,270,67.74
Chennai,Onion,Summer,37.6,62,8.1,853,540,48.27
Ramanathapuram,Tapioca,Normal,32.1,66,29.2,664,662,14.17
Sivaganga,Chilli,Rainy,27.9,90,188.7,353,540,70.1
Salem,Tomato,Light Rain,25.6,70,60.6,736,759,22.42
Virudhunagar,Banana,Normal,33.1,62,24.2,878,788,27.83
Thiruvarur,Tapioca,Rainy,25.7,86,194.1,511,698,10.13
Tiruvannamalai,Rice,Normal,33.8,60,22.2,971,998,44.26
Coimbatore,Cabbage,Rainy,29.2,93,180.1,574,711,15.84
Coimbatore,Cabbage,Rainy,29.6,84,188.6,502,638,13.64
Namakkal,Groundnut,Light Rain,26.4,77,70.2,678,813,64.69
Thiruvarur,Sugarcane,Normal,29.2,65,29.9,1097,1063,4.75
Vellore,Cauliflower,Summer,35.4,59,7.5,644,449,42.85
Ramanathapuram,Chilli,Summer,37.9,54,7.9,579,315,167.56
Coimbatore,Cauliflower,Light Rain,26.1,80,70.6,545,616,25.9
Tiruppur,Coconut,Light Rain,28.5,79,63.8,819,910,16.76
Villupuram,Bitter Gourd,Normal,30.3,67,31.1,354,376,33.45
Vellore,Rice,Summer,38.5,62,3.1,1166,855,64.28
Erode,Turmeric,Normal,32.8,66,21.4,737,581,97.83
Coimbatore,Corn,Rainy,28.4,91,181.4,576,855,17.26
Tiruppur,Okra,Rainy,28.2,90,186.9,428,566,22.38
Dindigul,Beans,Light Rain,28.7,71,68.6,552,543,32.97
Dindigul,Tomato,Summer,38.9,58,10.1,911,654,35.25
Sivaganga,Onion,Light Rain,27.0,72,52.3,667,794,27.53
Coimbatore,Tomato,Summer,38.6,61,11.7,953,602,37.39
Tiruchirappalli,Beans,Rainy,28.6,88,183.9,472,696,23.97
Tiruchirappalli,Drumstick,Rainy,26.1,89,197.9,331,512,32.43
Villupuram,Bitter Gourd,Light Rain,26.0,80,65.2,388,295,30.84
Virudhunagar,Carrot,Light Rain,27.0,76,53.7,476,453,36.71
Sivaganga,Beans,Normal,32.9,69,28.3,503,599,35.37
Virudhunagar,Carrot,Light Rain,29.1,80,55.3,460,522,34.91
Madurai,Bitter Gourd,Rainy,30.6,89,186.4,316,363,24.46
Virudhunagar,Tomato,Light Rain,28.0,75,52.2,733,861,20.87
Tiruvannamalai,Beans,Rainy,28.1,88,192.2,504,652,27.64
Erode,Okra,Rainy,30.7,85,183.3,476,531,21.68
Tiruvannamalai,Mango,Rainy,27.3,89,181.5,797,1075,41.42
Virudhunagar,Chilli,Rainy,27.7,90,197.8,350,499,69.68
Villupuram,Tomato,Rainy,26.9,90,193.2,608,909,16.76
Villupuram,Beans,Summer,33.9,54,5.0,636,522,48.7
Coimbatore,Sugarcane,Light Rain,28.1,77,53.0,1038,1154,4.48
Salem,Okra,Light Rain,27.9,79,62.0,525,572,27.6
Virudhunagar,Carrot,Normal,32.5,60,29.2,464,551,38.43
Chennai,Onion,Rainy,25.0,88,180.9,729,803,21.97
Sivaganga,Banana,Normal,32.6,64,35.1,786,774,28.58
Tirunelveli,Snake Gourd,Summer,36.7,57,8.4,390,328,31.14
Thoothukudi,Onion,Rainy,29.7,86,185.2,616,843,23.31
Salem,Tapioca,Light Rain,25.1,71,70.7,597,637,12.67
Virudhunagar,Beans,Summer,37.8,58,0.0,655,483,50.54
Thanjavur,Bitter Gourd,Summer,37.8,56,0.0,447,276,46.77
Thanjavur,Banana,Summer,36.6,59,2.5,920,708,38.2
Villupuram,Pumpkin,Summer,36.0,54,13.8,528,387,28.59
Virudhunagar,Chilli,Normal,31.6,63,22.8,415,418,113.88
Kanchipuram,Onion,Rainy,28.0,86,197.6,665,806,23.43
Tiruchirappalli,Tomato,Normal,30.3,63,25.2,756,810,26.5
Nagapattinam,Rice,Normal,30.9,66,28.8,943,990,46.58
Kanchipuram,Bitter Gourd,Light Rain,26.1,73,59.4,367,431,27.17
Sivaganga,Okra,Normal,31.4,69,22.2,439,444,30.99
Virudhunagar,Cabbage,Rainy,30.2,91,187.6,551,749,13.56
Krishnagiri,Cabbage,Summer,38.4,59,1.7,627,437,27.84
Thiruvarur,Drumstick,Summer,35.2,53,7.5,433,369,60.8
Tiruchirappalli,Onion,Rainy,28.4,92,181.0,743,870,23.33
Tiruvannamalai,Groundnut,Rainy,30.2,92,181.7,702,920,56.12
Ramanathapuram,Tapioca,Light Rain,29.9,77,52.9,659,561,13.77
Tiruppur,Tomato,Summer,36.8,61,5.2,842,591,34.42
Namakkal,Onion,Normal,29.3,63,21.2,769,674,34.99
Chennai,Onion,Summer,35.6,60,10.9,786,559,47.72
Tiruvannamalai,Rice,Normal,33.6,63,25.2,1008,953,51.52
Coimbatore,Corn,Rainy,29.9,93,187.0,610,814,17.39
Dindigul,Onion,Light Rain,28.0,72,69.9,802,821,30.1
Dindigul,Banana,Normal,30.8,59,24.2,874,730,28.11
Dharmapuri,Drumstick,Rainy,29.4,92,182.2,452,415,35.82
Chennai,Cauliflower,Normal,31.3,61,31.5,627,573,27.77
Cuddalore,Onion,Rainy,24.7,91,185.1,714,813,22.93
Namakkal,Rice,Summer,37.1,56,3.6,1082,846,62.98
Dharmapuri,Beans,Normal,32.2,69,34.0,622,466,42.25
Tiruvannamalai,Onion,Light Rain,29.7,78,57.7,755,789,27.87
Thiruvarur,Tomato,Summer,33.9,61,10.0,817,637,32.17
Nagapattinam,Drumstick,Light Rain,26.1,75,69.5,441,384,45.1
Salem,Drumstick,Summer,38.7,57,0.0,478,374,64.7
Villupuram,Onion,Light Rain,24.1,74,63.4,795,710,32.1
Ramanathapuram,Snake Gourd,Normal,30.9,59,37.8,408,261,29.73
Thoothukudi,Chilli,Normal,33.2,66,24.6,444,524,106.92
Tiruchirappalli,Drumstick,Summer,35.9,54,8.7,510,401,62.81
Sivaganga,Bitter Gourd,Light Rain,25.4,79,58.3,399,412,28.49
Sivaganga,Bitter Gourd,Rainy,26.9,93,182.7,332,463,21.24
Madurai,Drumstick,Summer,40.0,55,0.0,454,397,62.77
Coimbatore,Corn,Summer,39.6,53,0.0,711,494,34.63
Nagapattinam,Okra,Light Rain,25.6,74,69.0,535,492,26.55
Villupuram,Rice,Rainy,27.1,85,185.6,924,1219,33.29
Tiruppur,Corn,Summer,37.0,59,3.1,838,552,33.57
Sivaganga,Groundnut,Light Rain,25.6,72,53.7,657,803,65.29
Tirunelveli,Chilli,Rainy,28.9,92,196.7,399,574,77.82
Tiruvannamalai,Beans,Normal,31.4,61,37.9,548,547,34.65
Erode,Chilli,Rainy,28.4,89,199.6,418,464,79.33
Pudukottai,Okra,Light Rain,28.7,76,57.5,487,448,26.06
Sivaganga,Beans,Rainy,28.4,87,193.5,446,579,24.3
Tiruppur,Tomato,Summer,36.6,59,13.8,822,703,31.6
Thanjavur,Drumstick,Summer,37.8,61,12.1,487,360,64.48
Madurai,Rice,Summer,37.7,55,0.0,1130,834,67.84
Thoothukudi,Banana,Rainy,29.0,87,191.4,754,890,22.29
Tiruppur,Rice,Summer,36.6,55,1.2,1155,836,65.74
Tirunelveli,Rice,Rainy,27.4,90,185.7,870,1103,31.59
Dindigul,Potato,Normal,31.4,59,34.9,653,695,34.35
Dharmapuri,Rice,Light Rain,28.4,79,56.9,1024,963,45.77
Kanchipuram,Snake Gourd,Light Rain,26.0,72,71.6,333,286,23.64
Dharmapuri,Mango,Rainy,30.0,87,185.5,800,938,38.73
Namakkal,Tomato,Summer,36.0,57,0.5,878,585,33.01
Thiruvarur,Drumstick,Summer,34.9,56,4.5,427,295,62.52
Erode,Coconut,Light Rain,27.6,71,53.6,728,795,15.26
Coimbatore,Cabbage,Light Rain,27.3,79,63.8,566,660,19.3
Tirunelveli,Banana,Light Rain,27.8,75,59.4,835,901,23.43
Virudhunagar,Rice,Light Rain,27.3,78,57.8,912,955,45.94
Pudukottai,Tapioca,Summer,37.2,60,11.7,706,447,20.31
Tirunelveli,Ash Gourd,Summer,38.3,53,0.8,377,254,23.57
Tiruvannamalai,Cauliflower,Normal,33.6,61,29.9,581,471,31.62
Salem,Cauliflower,Light Rain,28.5,76,58.5,592,620,23.62
Chennai,Onion,Light Rain,27.7,71,63.0,665,794,27.36
Erode,Onion,Light Rain,29.7,72,59.8,678,703,27.38
Krishnagiri,Cabbage,Normal,31.9,64,22.1,606,604,22.21
Salem,Beans,Summer,35.8,60,0.0,596,415,55.27
Vellore,Rice,Normal,30.5,59,29.9,1029,903,50.33
Cuddalore,Coconut,Light Rain,24.9,77,58.2,741,858,16.04
Ramanathapuram,Rice,Normal,31.9,68,24.0,1023,950,50.62
Dharmapuri,Potato,Rainy,28.0,84,186.7,535,823,24.49
Namakkal,Okra,Light Rain,27.9,79,61.1,491,424,29.2
Vellore,Rice,Normal,32.3,59,26.2,993,1018,49.84
Tiruvannamalai,Corn,Rainy,27.3,89,183.0,547,792,17.84
Sivaganga,Tomato,Rainy,27.9,84,192.0,670,988,17.86
Madurai,Okra,Rainy,30.3,86,190.4,501,516,22.05
Thanjavur,Groundnut,Normal,31.0,62,20.5,720,699,82.38
Madurai,Chilli,Rainy,29.1,92,195.6,395,505,81.55
Kanchipuram,Bitter Gourd,Rainy,25.1,90,192.8,277,432,22.77
Coimbatore,Banana,Summer,37.2,52,8.8,828,656,37.61
Madurai,Okra,Summer,40.3,60,0.0,606,472,39.5
Tiruchirappalli,Drumstick,Rainy,27.1,88,187.0,432,412,34.2
Thiruvarur,Snake Gourd,Light Rain,23.6,74,58.9,420,371,24.35
Nagapattinam,Drumstick,Normal,29.1,68,32.5,501,350,51.2
Kanchipuram,Tapioca,Light Rain,25.2,72,53.1,527,578,11.56
Coimbatore,Onion,Light Rain,29.0,74,57.8,782,800,28.21
Salem,Tapioca,Normal,29.1,68,28.6,578,665,13.8
Madurai,Chilli,Summer,39.9,58,1.8,485,438,148.63
Sivaganga,Beans,Summer,37.0,55,0.0,589,386,55.06
Tirunelveli,Onion,Rainy,30.0,86,185.1,678,900,21.52
Namakkal,Rice,Summer,35.5,58,1.2,1031,815,65.24
Sivaganga,Bitter Gourd,Rainy,27.5,88,196.8,271,408,23.76
Vellore,Mango,Summer,37.9,58,7.4,1044,783,76.21
Tiruvannamalai,Rice,Summer,39.1,57,5.2,1094,834,65.83
Pudukottai,Bitter Gourd,Light Rain,27.6,75,55.1,382,344,28.91
Vellore,Cauliflower,Normal,32.4,68,18.6,510,445,31.47
Thanjavur,Groundnut,Normal,30.4,65,19.4,770,715,80.08
Chennai,Potato,Rainy,27.9,93,191.3,514,785,22.13
Cuddalore,Tomato,Light Rain,24.6,78,55.9,726,844,20.47
Thanjavur,Banana,Rainy,29.0,93,196.0,744,900,21.09
Dharmapuri,Carrot,Normal,31.5,68,36.2,518,527,37.93
Salem,Okra,Normal,32.8,66,18.3,426,438,31.21
Tiruvannamalai,Groundnut,Light Rain,28.1,79,54.6,735,693,67.36
Tiruppur,Beans,Summer,36.9,52,10.3,615,384,51.95
Salem,Rice,Rainy,27.8,93,188.8,833,1218,34.81
Nagapattinam,Tomato,Summer,33.8,55,8.9,840,637,34.36
Ramanathapuram,Okra,Normal,30.7,62,18.9,460,470,29.24
Salem,Okra,Summer,36.0,61,0.0,562,420,41.63
Tiruchirappalli,Corn,Rainy,28.5,89,199.6,610,744,17.73
Thoothukudi,Okra,Normal,33.9,64,31.6,578,485,30.24
Madurai,Banana,Normal,31.2,68,37.5,818,742,28.99
Kanchipuram,Coconut,Normal,30.6,60,37.7,908,840,17.64
Vellore,Cabbage,Light Rain,25.9,71,69.5,585,642,17.49
Salem,Tomato,Summer,35.2,54,0.0,880,608,33.39
Tiruppur,Rice,Normal,33.9,63,27.5,968,980,49.22
Dharmapuri,Onion,Normal,31.3,62,34.9,817,676,34.49
Sivaganga,Tomato,Light Rain,28.2,79,55.6,703,741,22.14
Madurai,Turmeric,Normal,32.3,68,27.5,586,589,96.1
Dharmapuri,Banana,Light Rain,30.9,77,55.8,742,879,23.16
Nagapattinam,Beans,Normal,30.4,62,27.5,618,490,36.18
Tiruvannamalai,Cauliflower,Light Rain,27.7,77,62.4,548,583,23.73
Dharmapuri,Mango,Light Rain,30.6,71,68.4,769,867,48.42
Dharmapuri,Banana,Summer,37.7,59,0.0,867,617,41.71
Virudhunagar,Potato,Summer,37.2,56,3.0,748,561,43.06
Thiruvarur,Tomato,Rainy,25.5,94,184.5,652,961,17.77
Ramanathapuram,Banana,Normal,31.2,60,19.6,820,730,31.88
Ramanathapuram,Tapioca,Rainy,28.2,91,195.2,543,695,9.32
Erode,Corn,Rainy,29.5,84,193.8,570,880,16.35
Tiruchirappalli,Rice,Rainy,27.8,88,196.5,849,1247,35.35
Dindigul,Onion,Summer,39.1,60,13.5,821,647,40.61
Erode,Beans,Normal,33.4,61,18.6,557,601,35.56
Thiruvarur,Tapioca,Normal,27.4,59,28.3,636,527,13.42
Kanchipuram,Tomato,Light Rain,25.5,76,67.6,731,723,22.75
Tiruppur,Onion,Summer,39.2,52,8.4,893,668,42.49
Chennai,Cauliflower,Normal,29.9,59,36.5,483,504,28.92
Tiruvannamalai,Tomato,Normal,31.1,65,25.8,791,742,25.06
Tiruvannamalai,Corn,Normal,30.0,69,31.5,639,718,23.64
Chennai,Cabbage,Normal,31.7,69,19.7,643,537,20.93
Dindigul,Tomato,Summer,39.4,53,7.0,816,713,33.77
Ramanathapuram,Chilli,Rainy,30.6,89,183.5,434,471,77.16
Namakkal,Rice,Summer,38.4,53,11.9,1077,789,63.03
Coimbatore,Banana,Rainy,28.3,86,182.9,720,947,19.85
Tiruvannamalai,Cauliflower,Summer,38.1,60,10.8,654,425,43.1
Coimbatore,Beans,Summer,38.7,53,0.0,647,530,49.5
Virudhunagar,Cabbage,Summer,37.3,58,0.0,719,486,29.27
Pudukottai,Banana,Normal,30.6,69,32.1,886,754,27.85
Tirunelveli,Pumpkin,Light Rain,26.5,72,55.2,434,398,20.49
Virudhunagar,Potato,Normal,33.5,64,27.6,752,642,35.14
Chennai,Onion,Normal,29.0,66,18.9,705,692,31.57
Tiruppur,Coconut,Rainy,27.1,84,182.0,682,1001,12.98
Cuddalore,Drumstick,Normal,27.1,64,18.2,425,440,42.13
Virudhunagar,Carrot,Rainy,27.5,86,184.3,395,578,29.1
Ramanathapuram,Bitter Gourd,Rainy,31.0,85,196.0,399,489,22.54
Thanjavur,Beans,Summer,35.0,62,0.0,542,478,49.24
Tirunelveli,Pumpkin,Summer,38.8,56,0.2,407,317,25.83
Thoothukudi,Tapioca,Normal,33.5,61,34.5,596,547,13.63
Villupuram,Groundnut,Light Rain,23.0,73,54.8,637,697,73.47
Tiruvannamalai,Beans,Light Rain,29.5,71,63.7,603,585,33.06
Villupuram,Groundnut,Normal,28.5,68,27.5,817,705,87.21
Virudhunagar,Cabbage,Light Rain,28.9,75,63.0,600,614,19.33
Thoothukudi,Chilli,Summer,39.3,58,8.7,469,357,143.29
Thoothukudi,Cashew,Rainy,28.6,89,199.8,576,766,87.86
Thanjavur,Banana,Summer,36.0,62,0.0,952,743,39.16
Chennai,Okra,Light Rain,27.9,75,57.8,439,445,28.76
Salem,Cauliflower,Rainy,27.1,89,181.9,502,557,21.7
Virudhunagar,Carrot,Normal,33.7,65,36.1,582,548,42.78
Chennai,Okra,Summer,34.4,58,4.8,532,474,39.39
Cuddalore,Coconut,Summer,34.5,56,0.0,883,651,26.45
Madurai,Turmeric,Light Rain,27.7,74,55.3,559,663,82.26
Salem,Corn,Rainy,27.0,90,195.2,537,771,16.27
Pudukottai,Banana,Normal,29.2,67,21.6,755,762,27.71
Erode,Chilli,Summer,36.3,60,3.1,577,337,163.14
Chennai,Potato,Light Rain,25.3,79,63.0,703,731,28.87
Cuddalore,Okra,Normal,30.4,61,30.4,486,436,31.1
Madurai,Bitter Gourd,Normal,34.4,61,27.3,422,405,34.51
Tiruppur,Onion,Summer,39.1,56,0.0,795,640,41.54
Tiruvannamalai,Cauliflower,Summer,37.9,52,2.3,557,383,41.79
Namakkal,Rice,Rainy,26.7,90,196.2,824,1167,31.76
Dindigul,Onion,Rainy,27.1,87,193.3,708,804,22.22
Madurai,Okra,Summer,40.1,53,0.1,538,376,38.67
Villupuram,Okra,Rainy,26.2,90,192.7,486,582,20.18
Villupuram,Beans,Rainy,25.6,90,180.9,422,666,26.65
Sivaganga,Banana,Light Rain,26.8,74,58.6,842,811,24.88
Namakkal,Beans,Rainy,26.6,94,181.2,411,613,26.62
Dharmapuri,Potato,Summer,37.7,60,10.8,822,593,44.56
Nagapattinam,Tapioca,Summer,33.0,52,2.3,709,515,19.94
Kanchipuram,Coconut,Light Rain,27.1,71,71.0,763,924,15.99
Krishnagiri,Potato,Rainy,27.1,93,185.8,629,751,24.59
Thiruvarur,Snake Gourd,Normal,27.3,60,23.5,342,379,25.9
Dharmapuri,Okra,Summer,39.2,56,0.1,580,359,46.13
Thanjavur,Beans,Summer,36.2,53,6.3,585,515,47.38
Pudukottai,Banana,Light Rain,28.8,71,61.6,751,848,23.27
Vellore,Groundnut,Rainy,28.6,94,195.8,568,902,56.45
Villupuram,Beans,Summer,34.1,59,11.1,634,377,57.96
Erode,Turmeric,Light Rain,26.3,79,62.7,613,630,90.22
Tirunelveli,Cashew,Rainy,28.0,92,187.0,570,743,93.33
Coimbatore,Corn,Normal,32.9,60,32.1,772,609,27.37
Vellore,Carrot,Normal,30.3,69,34.3,584,416,44.18
Coimbatore,Cabbage,Rainy,28.7,85,196.5,580,709,14.88
Tiruvannamalai,Mango,Normal,31.8,61,35.3,939,823,55.87
Vellore,Cabbage,Normal,29.9,59,36.8,595,518,21.68
Chennai,Onion,Light Rain,25.9,79,56.6,688,776,30.26
Erode,Onion,Light Rain,26.0,78,63.5,729,740,28.9
Tiruppur,Cauliflower,Light Rain,27.4,78,65.4,590,481,25.5
Thanjavur,Tomato,Rainy,27.5,84,193.1,636,982,18.31
Villupuram,Bitter Gourd,Normal,28.8,66,34.4,453,290,37.03
Tiruchirappalli,Onion,Normal,30.2,68,23.5,750,726,32.65
Ramanathapuram,Tapioca,Summer,37.6,60,4.0,720,460,18.42
Virudhunagar,Carrot,Rainy,29.5,84,186.0,449,601,26.51
Pudukottai,Rice,Light Rain,25.8,79,54.1,989,954,41.53
Nagapattinam,Okra,Normal,27.1,61,28.3,453,411,30.84
Pudukottai,Rice,Light Rain,29.0,75,57.0,924,1084,40.39
Sivaganga,Rice,Summer,36.7,55,0.0,1070,800,65.55
Thanjavur,Drumstick,Summer,34.0,62,13.2,449,321,67.04
Pudukottai,Onion,Summer,37.3,52,0.0,911,644,41.63
Madurai,Okra,Rainy,29.7,94,187.8,393,525,22.01
Coimbatore,Okra,Normal,30.3,69,30.8,574,400,30.85
Cuddalore,Coconut,Rainy,27.3,90,185.9,720,950,12.28
Vellore,Okra,Rainy,27.3,94,193.9,378,630,20.2
Virudhunagar,Tomato,Summer,37.9,60,0.0,831,724,34.49
Krishnagiri,Groundnut,Summer,38.6,59,9.5,867,539,118.59
Salem,Tomato,Summer,38.2,57,0.0,805,592,32.63
Coimbatore,Coconut,Rainy,27.4,94,181.7,794,1059,13.64
Cuddalore,Tapioca,Light Rain,25.2,79,56.6,623,619,12.17
Dindigul,Potato,Rainy,27.5,94,199.8,597,764,24.5
Nagapattinam,Onion,Rainy,26.3,88,192.4,727,892,24.51
Coimbatore,Banana,Summer,38.1,57,9.2,940,755,36.81
Coimbatore,Okra,Summer,37.9,62,13.8,534,365,39.95
Tiruppur,Tomato,Rainy,28.1,90,190.2,672,886,18.74
Thoothukudi,Rice,Light Rain,28.4,80,56.6,901,1062,40.33
Vellore,Cabbage,Rainy,29.5,89,192.7,433,677,14.09
Vellore,Cabbage,Rainy,29.8,91,191.3,480,618,14.74
Tiruchirappalli,Banana,Summer,35.1,54,12.9,831,603,39.77
Namakkal,Groundnut,Normal,29.9,69,22.7,804,754,76.68
Ramanathapuram,Okra,Rainy,29.5,85,195.7,445,598,21.0
Nagapattinam,Drumstick,Normal,27.4,59,34.7,515,455,45.2
Tirunelveli,Cashew,Light Rain,26.6,70,60.8,613,657,116.12
Dharmapuri,Potato,Normal,33.5,66,22.5,660,691,30.79
Tiruchirappalli,Beans,Summer,37.2,61,0.1,670,510,53.64
Chennai,Cauliflower,Normal,30.2,62,26.8,529,573,25.92
Cuddalore,Tomato,Summer,35.5,58,11.9,892,666,33.95
Nagapattinam,Beans,Summer,35.5,60,9.0,552,478,44.97
Dindigul,Rice,Normal,30.6,67,20.6,959,930,47.59
Dindigul,Onion,Light Rain,27.3,73,63.9,693,700,30.35
